distCode,distName,officeCode,officeName,shopNo,month,year,rcNfsaAay,unitsNfsaAay,rcNfsaPhh,unitsNfsaPhh,totalRcNfsa,totalUnitsNfsa,rcStateAay,unitsStateAay,rcStatePhh,unitsStatePhh,rcStateAap,unitsStateAap,totalRcState,totalUnitsState,totalRcs,totalUnits,cardTypeId,units,gasCylinders,mroAsoApprDate,cardPoolType
532,Adilabad,532001,Talamadugu,1901001,3,2025,39,127,920,2926,959,3053,0,0,149,303,0,0,149,303,1108,3356,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901002,3,2025,20,69,258,1066,278,1135,0,0,306,733,0,0,306,733,584,1868,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901003,3,2025,17,60,158,594,175,654,0,0,117,294,0,0,117,294,292,948,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901004,3,2025,14,45,190,769,204,814,0,0,200,525,1,1,201,526,405,1340,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901005,3,2025,155,520,530,2026,685,2546,0,0,368,880,0,0,368,880,1053,3426,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901006,3,2025,40,122,371,1213,411,1335,0,0,119,270,0,0,119,270,530,1605,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901007,3,2025,10,37,226,873,236,910,0,0,315,745,0,0,315,745,551,1655,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901008,3,2025,64,196,144,590,208,786,0,0,160,379,0,0,160,379,368,1165,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901009,3,2025,24,91,244,966,268,1057,0,0,69,180,0,0,69,180,337,1237,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901010,3,2025,116,388,408,1753,524,2141,0,0,395,969,0,0,395,969,919,3110,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901011,3,2025,9,30,436,1446,445,1476,0,0,154,377,1,1,155,378,600,1854,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901012,3,2025,28,72,624,2199,652,2271,0,0,212,482,0,0,212,482,864,2753,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901013,3,2025,25,83,291,1084,316,1167,0,0,136,312,0,0,136,312,452,1479,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901014,3,2025,9,20,84,335,93,355,0,0,88,209,0,0,88,209,181,564,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901015,3,2025,64,234,227,785,291,1019,0,0,130,287,0,0,130,287,421,1306,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901016,3,2025,58,213,436,1894,494,2107,0,0,370,902,0,0,370,902,864,3009,NA,0,0,NA,NA
532,Adilabad,532002,Tamsi,1902001,3,2025,55,185,408,1407,463,1592,0,0,347,845,0,0,347,845,810,2437,NA,0,0,NA,NA
532,Adilabad,532002,Tamsi,1902002,3,2025,39,150,315,1221,354,1371,0,0,133,392,0,0,133,392,487,1763,NA,0,0,NA,NA
532,Adilabad,532002,Tamsi,1902003,3,2025,22,79,191,698,213,777,0,0,127,295,0,0,127,295,340,1072,NA,0,0,NA,NA
532,Adilabad,532002,Tamsi,1902004,3,2025,12,41,150,465,162,506,0,0,92,216,0,0,92,216,254,722,NA,0,0,NA,NA
532,Adilabad,532002,Tamsi,1902005,3,2025,41,125,453,1493,494,1618,0,0,142,343,0,0,142,343,636,1961,NA,0,0,NA,NA
532,Adilabad,532002,Tamsi,1902006,3,2025,28,84,255,985,283,1069,0,0,214,511,0,0,214,511,497,1580,NA,0,0,NA,NA
532,Adilabad,532002,Tamsi,1902007,3,2025,31,84,179,678,210,762,0,0,239,575,0,0,239,575,449,1337,NA,0,0,NA,NA
532,Adilabad,532002,Tamsi,1902009,3,2025,32,90,276,1013,308,1103,0,0,347,831,0,0,347,831,655,1934,NA,0,0,NA,NA
532,Adilabad,532002,Tamsi,1902010,3,2025,28,99,45,121,73,220,0,0,300,805,0,0,300,805,373,1025,NA,0,0,NA,NA
532,Adilabad,532002,Tamsi,1902011,3,2025,29,91,150,552,179,643,0,0,176,419,0,0,176,419,355,1062,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904001,3,2025,36,104,648,1941,684,2045,0,0,75,174,0,0,75,174,759,2219,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904002,3,2025,48,133,597,1734,645,1867,0,0,55,98,0,0,55,98,700,1965,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904003,3,2025,21,66,428,1461,449,1527,0,0,41,91,0,0,41,91,490,1618,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904004,3,2025,30,95,453,1415,483,1510,0,0,64,149,0,0,64,149,547,1659,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904005,3,2025,41,116,611,1803,652,1919,0,0,119,272,0,0,119,272,771,2191,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904006,3,2025,34,94,371,1050,405,1144,0,0,32,71,0,0,32,71,437,1215,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904007,3,2025,35,113,395,1200,430,1313,0,0,24,52,0,0,24,52,454,1365,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904008,3,2025,13,38,168,492,181,530,0,0,25,62,0,0,25,62,206,592,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904009,3,2025,22,53,326,1028,348,1081,0,0,38,80,0,0,38,80,386,1161,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904010,3,2025,21,58,308,912,329,970,0,0,37,74,0,0,37,74,366,1044,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904011,3,2025,19,60,90,256,109,316,0,0,10,21,0,0,10,21,119,337,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904012,3,2025,29,87,323,1083,352,1170,0,0,44,99,0,0,44,99,396,1269,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904013,3,2025,16,45,327,973,343,1018,0,0,32,75,0,0,32,75,375,1093,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904014,3,2025,20,65,249,777,269,842,0,0,29,51,0,0,29,51,298,893,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904015,3,2025,6,21,99,280,105,301,0,0,10,22,0,0,10,22,115,323,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904016,3,2025,50,156,517,1683,567,1839,0,0,59,144,0,0,59,144,626,1983,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904017,3,2025,8,24,198,650,206,674,0,0,32,81,0,0,32,81,238,755,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904018,3,2025,14,43,278,907,292,950,0,0,25,62,0,0,25,62,317,1012,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904019,3,2025,55,159,519,1638,574,1797,0,0,72,159,0,0,72,159,646,1956,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904020,3,2025,29,68,341,1042,370,1110,0,0,45,88,0,0,45,88,415,1198,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904021,3,2025,43,144,387,1153,430,1297,0,0,38,81,0,0,38,81,468,1378,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904022,3,2025,7,29,255,798,262,827,0,0,22,52,0,0,22,52,284,879,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904023,3,2025,8,31,107,321,115,352,0,0,9,22,0,0,9,22,124,374,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904024,3,2025,2,7,287,854,289,861,0,0,22,41,0,0,22,41,311,902,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904025,3,2025,8,30,574,1898,582,1928,0,0,40,99,0,0,40,99,622,2027,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904026,3,2025,11,26,188,589,199,615,0,0,31,69,0,0,31,69,230,684,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904027,3,2025,1,2,605,1883,606,1885,0,0,55,114,0,0,55,114,661,1999,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904028,3,2025,7,18,200,586,207,604,0,0,20,42,0,0,20,42,227,646,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904029,3,2025,18,59,274,820,292,879,0,0,39,78,0,0,39,78,331,957,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904030,3,2025,13,43,155,448,168,491,0,0,10,16,0,0,10,16,178,507,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904031,3,2025,29,84,322,981,351,1065,0,0,30,63,0,0,30,63,381,1128,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904032,3,2025,21,82,383,1234,404,1316,0,0,51,76,0,0,51,76,455,1392,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904033,3,2025,5,17,179,552,184,569,0,0,17,33,0,0,17,33,201,602,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904034,3,2025,9,25,286,852,295,877,0,0,22,48,0,0,22,48,317,925,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904035,3,2025,34,108,220,760,254,868,0,0,18,43,0,0,18,43,272,911,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904036,3,2025,20,49,147,432,167,481,0,0,9,15,0,0,9,15,176,496,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904037,3,2025,16,46,499,1560,515,1606,0,0,108,242,0,0,108,242,623,1848,NA,0,0,NA,NA
532,Adilabad,532004,Jainad,1904038,3,2025,119,367,341,1190,460,1557,0,0,14,20,0,0,14,20,474,1577,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905001,3,2025,41,131,283,1033,324,1164,0,0,444,1188,0,0,444,1188,768,2352,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905002,3,2025,9,35,283,1014,292,1049,0,0,136,333,0,0,136,333,428,1382,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905003,3,2025,39,117,262,932,301,1049,0,0,238,591,0,0,238,591,539,1640,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905004,3,2025,16,56,126,465,142,521,0,0,187,516,0,0,187,516,329,1037,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905005,3,2025,30,86,186,625,216,711,0,0,201,492,0,0,201,492,417,1203,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905006,3,2025,14,45,171,587,185,632,0,0,254,684,0,0,254,684,439,1316,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905007,3,2025,37,124,238,874,275,998,0,0,243,632,0,0,243,632,518,1630,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905008,3,2025,16,54,129,439,145,493,0,0,93,217,0,0,93,217,238,710,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905009,3,2025,28,99,215,693,243,792,0,0,167,411,0,0,167,411,410,1203,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905010,3,2025,35,118,231,916,266,1034,0,0,212,549,0,0,212,549,478,1583,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905011,3,2025,18,65,129,451,147,516,0,0,120,298,0,0,120,298,267,814,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905012,3,2025,63,207,271,966,334,1173,0,0,349,853,0,0,349,853,683,2026,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905013,3,2025,2,7,133,424,135,431,0,0,97,234,0,0,97,234,232,665,NA,0,0,NA,NA
532,Adilabad,532005,Bela,1905014,3,2025,39,129,285,1029,324,1158,0,0,291,719,0,0,291,719,615,1877,NA,0,0,NA,NA
