distCode,distName,officeCode,officeName,shopNo,month,year,rcNfsaAay,unitsNfsaAay,rcNfsaPhh,unitsNfsaPhh,totalRcNfsa,totalUnitsNfsa,rcStateAay,unitsStateAay,rcStatePhh,unitsStatePhh,rcStateAap,unitsStateAap,totalRcState,totalUnitsState,totalRcs,totalUnits,cardTypeId,units,gasCylinders,mroAsoApprDate,cardPoolType
532,Adilabad,532001,Talamadugu,1901001,9,2024,39,129,920,2955,959,3084,0,0,149,304,0,0,149,304,1108,3388,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901002,9,2024,20,70,258,1070,278,1140,0,0,306,736,0,0,306,736,584,1876,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901003,9,2024,17,60,158,596,175,656,0,0,117,296,0,0,117,296,292,952,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901004,9,2024,14,45,190,773,204,818,0,0,200,525,1,1,201,526,405,1344,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901005,9,2024,155,520,530,2052,685,2572,0,0,285,743,0,0,285,743,970,3315,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901006,9,2024,40,122,371,1227,411,1349,0,0,119,270,0,0,119,270,530,1619,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901007,9,2024,10,37,226,877,236,914,0,0,315,753,0,0,315,753,551,1667,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901008,9,2024,64,197,144,591,208,788,0,0,160,379,0,0,160,379,368,1167,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901009,9,2024,24,91,244,969,268,1060,0,0,69,180,0,0,69,180,337,1240,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901010,9,2024,116,390,408,1760,524,2150,0,0,395,973,0,0,395,973,919,3123,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901011,9,2024,9,28,436,1444,445,1472,0,0,154,374,1,1,155,375,600,1847,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901012,9,2024,28,72,623,2213,651,2285,0,0,212,482,0,0,212,482,863,2767,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901013,9,2024,25,83,291,1089,316,1172,0,0,136,314,0,0,136,314,452,1486,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901014,9,2024,9,20,84,335,93,355,0,0,88,209,0,0,88,209,181,564,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901015,9,2024,64,234,227,786,291,1020,0,0,130,287,0,0,130,287,421,1307,NA,0,0,NA,NA
532,Adilabad,532001,Talamadugu,1901016,9,2024,58,211,436,1896,494,2107,0,0,370,899,0,0,370,899,864,3006,NA,0,0,NA,NA
